iter	Passed	Remaining
0	1	130
1	2	125
2	3	118
3	4	108
4	5	105
5	10	164
6	11	152
7	12	142
8	13	133
9	14	126
10	15	122
11	16	118
12	17	115
13	18	110
14	18	106
15	19	104
16	20	101
17	21	98
18	22	95
19	23	92
20	24	91
21	25	90
22	26	88
23	27	86
24	28	85
25	29	83
26	30	81
27	31	80
28	32	78
29	32	76
30	34	76
31	35	74
32	36	73
33	37	72
34	38	70
35	39	69
36	39	68
37	40	66
38	41	64
39	42	63
40	43	62
41	44	61
42	45	59
43	46	58
44	47	57
45	48	56
46	49	55
47	50	54
48	50	53
49	52	52
50	53	51
51	54	49
52	54	48
53	55	47
54	56	46
55	57	45
56	58	44
57	59	43
58	60	42
59	61	40
60	62	39
61	63	38
62	64	37
63	64	36
64	65	35
65	66	34
66	67	33
67	68	32
68	69	31
69	69	29
70	70	28
71	71	27
72	72	26
73	73	25
74	74	24
75	75	23
76	76	22
77	77	21
78	78	20
79	79	19
80	80	18
81	81	17
82	82	16
83	82	15
84	83	14
85	84	13
86	85	12
87	86	11
88	87	10
89	88	9
90	89	8
91	90	7
92	91	6
93	92	5
94	93	4
95	94	3
96	96	2
97	97	1
98	97	0
99	98	0
